1	0.3589	0.3574
2	1.1403	0.9986
3	-1.2071	-1.0431
0	2.7166	2.7105
1	0.3589	0.3574
2	1.1403	1.0324
3	-1.2071	-1.1075
0	2.7159	2.6875
1	0.3581	0.3835
2	1.1394	1.1121
3	-1.2077	-1.1459
0	2.7159	2.6783
1	0.3581	0.3850
2	1.1394	1.1459
3	-1.2077	-1.1689
0	2.7159	2.6661
1	0.3581	0.3942
2	1.1394	1.1597
3	-1.2077	-1.1766
0	2.7262	2.6630
1	0.3690	0.3958
2	1.1517	1.1582
3	-1.1984	-1.1858
0	2.7262	2.6584
1	0.3690	0.3958
2	1.1517	1.1582
3	-1.1984	-1.1858
0	2.7492	2.6584
1	0.3924	0.3927
2	1.1763	1.1582
3	-1.1763	-1.1858
0	2.8678	2.6584
1	0.5005	0.3866
2	1.2656	1.1582
3	-1.0205	-1.1858
Warning at edu.wpi.first.wpilibj.DriverStation.reportJoystickUnpluggedWarning(DriverStation.java:1489): Joystick axis 1 on port 0 not available, check if controller is plugged in
0	2.8678	2.6630
1	0.5005	0.3881
2	1.2656	1.1582
3	-1.0205	-1.1873
0	2.9016	2.6845
1	0.5278	0.3881
2	1.2835	1.1735
3	-0.9574	-1.1934
0	3.0868	2.7412
1	0.6705	0.4172
2	1.3813	1.2088
3	-0.3462	-1.1535
0	-3.0986	2.7872
1	0.8281	0.4479
2	1.6132	1.2349
3	-0.7501	-1.1091
0	-3.0986	2.8394
1	0.8281	0.4878
2	1.6132	1.2640
3	-0.7501	-0.9787
0	-2.8611	2.8824
1	1.0318	0.5170
2	1.7965	1.2763
3	-0.6436	-0.8283
0	-2.8611	2.9560
1	1.0318	0.5783
2	1.7965	1.3146
3	-0.6436	-0.7440
0	-2.7471	3.0296
1	1.1784	0.6535
2	1.9632	1.4174
3	-0.3944	-0.7102
0	-2.7471	3.0864
1	1.1784	0.7225
2	1.9632	1.4634
3	-0.3944	-0.7286
0	-2.7371	-3.0956
1	1.1882	0.8253
2	1.9729	1.5877
3	-0.3849	-0.7041
0	-2.6016	-3.0127
1	1.2953	0.8928
2	2.0721	1.6920
3	-0.2999	-0.6335
0	-2.6016	-2.9238
1	1.2953	0.9587
2	2.0721	1.7702
3	-0.2999	-0.5936
0	-2.6016	-2.8731
1	1.2953	1.0446
2	2.0721	1.8331
